Years,Yearly Surplus,Eric Yearly Super,Emily Yearly Super,Combined Super,Total Assets,Total Liabilities,Net Wealth
2022,81049,166577.8,102029.75,268607.55,2662857.55,1071657.61,1591199.94
2023,84928.15,195904.58,120837.45,316742.03,2818338.28,990771.16,1827567.12
2024,88905.86,228169.62,141545.83,369715.45,2984562,907258.05,2077303.95
2025,92984.62,263573.12,164284.69,427857.81,3162183.41,821032.97,2341150.44
2026,97166.97,302326.71,189191.27,491517.98,3351893.99,732007.85,2619886.14
2027,101455.52,343526.4,215675.66,559202.06,3552561.25,640091.78,2912469.47
2028,105852.93,387301.76,243821.55,631123.31,3764779.75,545190.87,3219588.88
2029,110254.84,433788.78,273716.77,707505.55,3989175.6,447208.19,3541967.41
2030,114530.1,483130.21,305453.51,788583.72,4226408.12,346043.67,3880364.46
2031,118914.28,535475.83,339128.52,874604.35,4477171.6,241593.98,4235577.62
2032,123410.15,590982.84,374843.31,965826.15,4742197.09,133752.43,4608444.66
2033,128020.5,649816.16,412704.42,1062520.58,5022254.43,22408.9,4999845.53
2034,243235.66,712148.85,452823.64,1164972.49,5318154.2,0,5318154.2
2035,251596.31,778162.49,495318.23,1273480.72,5630749.93,0,5630749.93
2036,256567.75,848047.57,540311.24,1388358.81,5960940.32,0,5960940.32
2037,261665.67,922003.91,587931.77,1509935.68,6309671.68,0,6309671.68
2038,266893.26,1000241.16,638315.22,1638556.38,6677940.35,0,6677940.35
2039,272253.77,1082979.2,691603.64,1774582.84,7066795.43,0,7066795.43
2040,277750.56,1170448.69,747946.02,1918394.71,7477341.5,0,7477341.5
2041,283387.06,1262891.55,807498.65,2070390.2,7910741.55,0,7910741.55
2042,289166.78,1360561.49,870425.43,2230986.92,8368220.1,0,8368220.1
2043,295093.33,1463724.61,936898.27,2400622.88,8851066.39,0,8851066.39
2044,301170.4,1572659.98,1007097.44,2579757.42,9360637.82,0,9360637.82
2045,307401.78,1687660.23,1081212.01,2768872.24,9898363.56,0,9898363.56
2046,313791.35,1809032.22,1159440.22,2968472.44,10465748.28,0,10465748.28
2047,320343.09,1937097.72,1241989.95,3179087.67,11064376.18,0,11064376.18
2048,327061.07,2072194.12,1329079.19,3401273.31,11695915.19,0,11695915.19
2049,333949.48,2214675.17,1420936.47,3635611.64,12362121.33,0,12362121.33
2050,341012.6,2364911.75,1517801.43,3882713.18,13064843.4,0,13064843.4
2051,348254.81,2523292.7,1619925.3,4143218,13806027.89,0,13806027.89
2052,355680.62,2690225.68,1727571.46,4417797.14,14587724.06,0,14587724.06